factype,latitude,longitude
PARKING LOTS AND GARAGES,40.7445663545,-73.9369205341
PARKING LOTS AND GARAGES,40.8758358726,-73.8799011569
PARKING LOTS AND GARAGES,40.705356864,-73.8156757176
PARKING LOTS AND GARAGES,40.8103810098,-73.94306989
PARKING LOTS AND GARAGES,40.7328975729,-73.9908408637
PARKING LOTS AND GARAGES,40.6932297218,-73.829886611
PARKING LOTS AND GARAGES,40.7674164504,-73.9682469759
PARKING LOTS AND GARAGES,40.8967186452,-73.8632500566
PARKING LOTS AND GARAGES,40.883263,-73.880406
PARKING LOTS AND GARAGES,40.7306698698,-73.9786309851
PARKING LOTS AND GARAGES,40.8825243464,-73.8256107648
PARKING LOTS AND GARAGES,40.6228957036,-73.9276502408
PARKING LOTS AND GARAGES,40.7456986765,-73.9711774881
PARKING LOTS AND GARAGES,40.7978876609,-73.9683144637
PARKING LOTS AND GARAGES,40.748680996,-73.9978515736
PARKING LOTS AND GARAGES,40.7566245574,-73.9970726761
PARKING LOTS AND GARAGES,40.899967601,-73.8525940495
PARKING LOTS AND GARAGES,40.8786999537,-73.9029468801
PARKING LOTS AND GARAGES,40.7119476594,-73.9960517443
PARKING LOTS AND GARAGES,40.7137659923,-73.7597927248
PARKING LOTS AND GARAGES,40.7165686739,-74.0161395854
PARKING LOTS AND GARAGES,40.7381587623,-73.9958286032
PARKING LOTS AND GARAGES,40.8139058385,-73.9494449598
PARKING LOTS AND GARAGES,40.6214182825,-74.0204637899
PARKING LOTS AND GARAGES,40.7771338084,-73.9869664111
PARKING LOTS AND GARAGES,40.7676213262,-73.9567201218
PARKING LOTS AND GARAGES,40.7899769487,-73.9495083721
PARKING LOTS AND GARAGES,40.8023657356,-73.9616659892
PARKING LOTS AND GARAGES,40.8540765171,-73.8415586073
PARKING LOTS AND GARAGES,40.755115788,-73.9656945368
PARKING LOTS AND GARAGES,40.8461362065,-73.8969360918
PARKING LOTS AND GARAGES,40.7876363155,-73.9423233302
PARKING LOTS AND GARAGES,40.7795170545,-73.9566056019
PARKING LOTS AND GARAGES,40.7503225412,-73.9784076859
PARKING LOTS AND GARAGES,40.7515901735,-73.9690297782
PARKING LOTS AND GARAGES,40.7681853743,-73.9561427591
PARKING LOTS AND GARAGES,40.8399341333,-73.902211954
PARKING LOTS AND GARAGES,40.7728693046,-73.9587201109
PARKING LOTS AND GARAGES,40.7924220009,-73.9709805659
PARKING LOTS AND GARAGES,40.7166042077,-74.0143335939
PARKING LOTS AND GARAGES,40.7635400212,-73.9722672508
PARKING LOTS AND GARAGES,40.6006963342,-74.1774350291
PARKING LOTS AND GARAGES,40.7787475342,-73.9572995912
PARKING LOTS AND GARAGES,40.8917458774,-73.9117627251
PARKING LOTS AND GARAGES,40.6871639878,-73.8538450901
PARKING LOTS AND GARAGES,40.7072797485,-74.017653212
PARKING LOTS AND GARAGES,40.6314789868,-73.9442547707
PARKING LOTS AND GARAGES,40.640659,-74.077196
PARKING LOTS AND GARAGES,40.7037359467,-73.7868216296
PARKING LOTS AND GARAGES,40.7692337265,-73.9545311643
PARKING LOTS AND GARAGES,40.7094698495,-74.0159408849
PARKING LOTS AND GARAGES,40.5277838245,-74.2371595182
PARKING LOTS AND GARAGES,40.7751116317,-73.9900227995
PARKING LOTS AND GARAGES,40.83208808,-73.9027390385
PARKING LOTS AND GARAGES,40.8812411917,-73.8275580671
PARKING LOTS AND GARAGES,40.7205139537,-73.8464038788
PARKING LOTS AND GARAGES,40.7487496767,-73.978301786
PARKING LOTS AND GARAGES,40.7640431313,-73.9653257736
PARKING LOTS AND GARAGES,40.7502482588,-73.9423300524
PARKING LOTS AND GARAGES,40.6618093356,-73.8686401368
PARKING LOTS AND GARAGES,40.7668290236,-73.9606627241
PARKING LOTS AND GARAGES,40.7390274855,-73.9821424374
PARKING LOTS AND GARAGES,40.6373582345,-74.1466191105
PARKING LOTS AND GARAGES,40.7339395318,-74.0081292414
PARKING LOTS AND GARAGES,40.7550695569,-73.8328974544
PARKING LOTS AND GARAGES,40.7553866067,-73.8922376571
PARKING LOTS AND GARAGES,40.7180437515,-73.9634718729
PARKING LOTS AND GARAGES,40.7513122491,-73.9726884025
PARKING LOTS AND GARAGES,40.5793119797,-73.9733758306
PARKING LOTS AND GARAGES,40.7627644746,-74.0015136067
PARKING LOTS AND GARAGES,40.753192104,-73.9677787853
PARKING LOTS AND GARAGES,40.7477819448,-73.9740442162
PARKING LOTS AND GARAGES,0.0,0.0
PARKING LOTS AND GARAGES,40.7410805846,-73.9759262923
PARKING LOTS AND GARAGES,40.7217992788,-73.9396525882
PARKING LOTS AND GARAGES,40.7748785257,-73.9837705949
PARKING LOTS AND GARAGES,40.7946473437,-73.9666372
PARKING LOTS AND GARAGES,40.7517769114,-73.9694933
PARKING LOTS AND GARAGES,40.8554112764,-73.8941227656
PARKING LOTS AND GARAGES,40.6800606367,-73.851870555
PARKING LOTS AND GARAGES,40.78374205,-73.9808845449
PARKING LOTS AND GARAGES,40.7156814433,-73.9129046292
PARKING LOTS AND GARAGES,40.6772649917,-74.003353652
PARKING LOTS AND GARAGES,40.6486040278,-73.9134452828
PARKING LOTS AND GARAGES,40.7547596449,-73.8275329421
PARKING LOTS AND GARAGES,40.7786030649,-73.8980690792
PARKING LOTS AND GARAGES,40.6757998294,-73.8933202029
PARKING LOTS AND GARAGES,40.8184295028,-73.9584133975
PARKING LOTS AND GARAGES,40.6336176365,-74.1247426969
PARKING LOTS AND GARAGES,40.8799433699,-73.9077325884
PARKING LOTS AND GARAGES,40.8253899027,-73.9469216402
PARKING LOTS AND GARAGES,40.7177442141,-73.9150367894
PARKING LOTS AND GARAGES,40.7243007193,-73.9939488015
PARKING LOTS AND GARAGES,40.697443,-73.98608
PARKING LOTS AND GARAGES,40.6933401425,-73.9581122604
PARKING LOTS AND GARAGES,40.7944037139,-73.9421048883
PARKING LOTS AND GARAGES,40.8113286851,-73.9605474912
PARKING LOTS AND GARAGES,40.8234442063,-73.9234947002
PARKING LOTS AND GARAGES,40.8136590378,-73.8845597257
PARKING LOTS AND GARAGES,40.6912669535,-73.8222521106
PARKING LOTS AND GARAGES,40.7432546564,-73.9921472602
PARKING LOTS AND GARAGES,40.7212066638,-74.0009530436
PARKING LOTS AND GARAGES,40.8025071473,-73.9344711852
PARKING LOTS AND GARAGES,40.8845245287,-73.8299043588
PARKING LOTS AND GARAGES,40.6727878912,-73.7886140948
PARKING LOTS AND GARAGES,40.8327244349,-73.9097659148
PARKING LOTS AND GARAGES,40.5948214985,-73.9738862149
PARKING LOTS AND GARAGES,40.7479514502,-73.9747538694
PARKING LOTS AND GARAGES,40.7884504291,-73.9739809118
PARKING LOTS AND GARAGES,40.7224648931,-73.8448867051
PARKING LOTS AND GARAGES,40.5793664061,-73.9829464674
PARKING LOTS AND GARAGES,40.7550889046,-73.8171796566
PARKING LOTS AND GARAGES,40.8380318003,-73.9202802253
PARKING LOTS AND GARAGES,40.7069559812,-74.0169731918
PARKING LOTS AND GARAGES,40.8203510797,-73.9094792753
PARKING LOTS AND GARAGES,40.8019197045,-73.9366533361
PARKING LOTS AND GARAGES,40.7384436563,-74.0086520052
PARKING LOTS AND GARAGES,40.8858725954,-73.8263953389
PARKING LOTS AND GARAGES,40.7378987078,-73.8857719174
PARKING LOTS AND GARAGES,40.6330046309,-74.1200272833
PARKING LOTS AND GARAGES,40.8408513197,-73.918511455
PARKING LOTS AND GARAGES,40.788871717,-73.9708499108
PARKING LOTS AND GARAGES,40.7797065491,-73.9873978792
PARKING LOTS AND GARAGES,40.7570659739,-73.8457670526
PARKING LOTS AND GARAGES,40.7404376658,-73.9763512322
PARKING LOTS AND GARAGES,40.7373328965,-73.7960414214
PARKING LOTS AND GARAGES,40.7271886986,-73.8524329715
PARKING LOTS AND GARAGES,40.758114346,-73.7935907686
PARKING LOTS AND GARAGES,40.772037909,-73.9513390385
PARKING LOTS AND GARAGES,40.805749421,-73.9388477217
PARKING LOTS AND GARAGES,40.8411448099,-73.9182396157
PARKING LOTS AND GARAGES,40.6787045228,-73.9051589496
PARKING LOTS AND GARAGES,40.763640027,-73.7693511134
PARKING LOTS AND GARAGES,40.7787854204,-73.9473715408
PARKING LOTS AND GARAGES,40.7655098518,-73.981553697
PARKING LOTS AND GARAGES,40.6935013063,-74.0001478484
PARKING LOTS AND GARAGES,40.825153604,-73.8445127713
PARKING LOTS AND GARAGES,40.8097000032,-73.9489318102
PARKING LOTS AND GARAGES,40.8209184402,-73.8877770822
PARKING LOTS AND GARAGES,40.7410805846,-73.9759262923
PARKING LOTS AND GARAGES,40.7646178208,-73.9693596316
PARKING LOTS AND GARAGES,40.70853325,-74.0064306019
PARKING LOTS AND GARAGES,40.7213736872,-73.8487269101
PARKING LOTS AND GARAGES,40.8635322512,-73.8979931563
PARKING LOTS AND GARAGES,40.754072,-73.973498474
PARKING LOTS AND GARAGES,40.7804180359,-73.8977545136
PARKING LOTS AND GARAGES,40.603389,-73.99678
PARKING LOTS AND GARAGES,40.6933021487,-73.9645146184
PARKING LOTS AND GARAGES,40.7598013729,-73.9905008041
PARKING LOTS AND GARAGES,40.8527619859,-73.8673994603
PARKING LOTS AND GARAGES,40.7972818837,-73.9687748181
PARKING LOTS AND GARAGES,40.7791874409,-73.8978772871
PARKING LOTS AND GARAGES,40.8041445533,-73.9560194954
PARKING LOTS AND GARAGES,40.7552409656,-73.9641924556
PARKING LOTS AND GARAGES,40.854593197,-73.9333441755
PARKING LOTS AND GARAGES,40.6886300679,-73.8454072469
PARKING LOTS AND GARAGES,40.7454683145,-73.9786855685
PARKING LOTS AND GARAGES,40.7701452102,-73.9627203496
PARKING LOTS AND GARAGES,40.7384469784,-74.0058502318
PARKING LOTS AND GARAGES,40.7605978145,-73.9677081191
PARKING LOTS AND GARAGES,40.7165686739,-74.0161395854
PARKING LOTS AND GARAGES,40.6796680011,-73.9054144058
PARKING LOTS AND GARAGES,40.7835714242,-73.8401285797
PARKING LOTS AND GARAGES,40.810970412,-73.8824774993
PARKING LOTS AND GARAGES,40.8471216944,-73.9123548486
PARKING LOTS AND GARAGES,40.6557680183,-73.9303658953
PARKING LOTS AND GARAGES,40.7558615225,-73.9683189752
PARKING LOTS AND GARAGES,40.6123588755,-73.9732815338
PARKING LOTS AND GARAGES,40.7471126932,-73.9866597712
PARKING LOTS AND GARAGES,40.8065429524,-73.9553837906
PARKING LOTS AND GARAGES,40.7366560723,-73.9915455148
PARKING LOTS AND GARAGES,40.8364215018,-73.9413969697
PARKING LOTS AND GARAGES,40.9001769935,-73.8522603077
PARKING LOTS AND GARAGES,40.8597111735,-73.9304435014
PARKING LOTS AND GARAGES,40.7671115478,-73.9872301743
