the_geom,MeterNo,MeterType,LONG,LAT,Status,Borough,X,Y
POINT (-73.93858167255972 40.745019551835306),4152010,Strada,-73.9385816726,40.7450195518,Active,Queens,1001268.6231,210713.315828
POINT (-73.90638914163469 40.77300873354701),4181690,Strada,-73.9063891416,40.7730087335,Active,Queens,1010178.06591,220918.577569
POINT (-73.90714759256092 40.77354799504209),4181689,Strada,-73.9071475926,40.773547995,Active,Queens,1009967.78418,221114.82488
POINT (-73.90772297516827 40.77395663471078),4181686,Strada,-73.9077229752,40.7739566347,Active,Queens,1009808.26088,221263.537509
POINT (-73.90862095790885 40.774592783253496),4181683,Strada,-73.9086209579,40.7745927833,Active,Queens,1009559.30206,221495.046889
POINT (-73.90907689334715 40.77464644290571),4181684,Strada,-73.9090768933,40.7746464429,Active,Queens,1009433.00113,221514.465485
POINT (-73.90913415148128 40.77474305353071),4181685,Strada,-73.9091341515,40.7747430535,Active,Queens,1009417.10582,221549.647502
POINT (-73.90925989603404 40.775037520797476),4181679,Strada,-73.909259896,40.7750375208,Active,Queens,1009382.16724,221656.895647
POINT (-73.91331469172711 40.76523483297634),4072279,Strada,-73.9133146917,40.765234833,Active,Queens,1008262.65045,218084.314537
POINT (-73.91443881712507 40.76369558727047),4072266,Strada,-73.9144388171,40.7636955873,Active,Queens,1007951.80495,217523.210673
POINT (-73.91410155455223 40.76370406039241),4072264,Strada,-73.9141015546,40.7637040604,Active,Queens,1008045.22897,217526.389144
POINT (-73.91400896222765 40.76366638354517),4072265,Strada,-73.9140089622,40.7636663835,Active,Queens,1008070.89198,217512.6874
POINT (-73.91379453701639 40.763391961106706),4072263,Strada,-73.913794537,40.7633919611,Active,Queens,1008130.38956,217412.764699
POINT (-73.91279048800624 40.76292106545016),4072262,Strada,-73.912790488,40.7629210655,Active,Queens,1008408.69905,217241.477312
POINT (-73.91133386375961 40.762235851828564),4072261,Strada,-73.9113338638,40.7622358518,Active,Queens,1008812.46431,216992.236669
POINT (-73.91142066344301 40.762149872661496),4072260,Strada,-73.9114206634,40.7621498727,Active,Queens,1008788.45058,216960.887322
POINT (-73.9130375745016 40.76290758616536),4072259,Strada,-73.9130375745,40.7629075862,Active,Queens,1008340.25627,217236.498319
POINT (-73.91378462127769 40.76325870060956),4072258,Strada,-73.9137846213,40.7632587006,Active,Queens,1008133.18418,217364.21624
POINT (-73.91422610750632 40.763400810103974),4072257,Strada,-73.9142261075,40.7634008101,Active,Queens,1008010.83403,217415.87132
POINT (-73.91483637809527 40.76354097523534),4072256,Strada,-73.9148363781,40.7635409752,Active,Queens,1007841.72905,217466.773121
POINT (-73.91501591419042 40.76336935636471),4072255,Strada,-73.9150159142,40.7633693564,Active,Queens,1007792.05527,217404.198443
POINT (-73.91208135905838 40.75547597327179),4072222,Strada,-73.9120813591,40.7554759733,Retired,Queens,1008607.86367,214529.184508
POINT (-73.91242653793367 40.75581439859969),4072221,Strada,-73.9124265379,40.7558143986,Active,Queens,1008512.10862,214652.388002
POINT (-73.91304049380042 40.75610433664617),4072220,Strada,-73.9130404938,40.7561043366,Active,Queens,1008341.90817,214757.852358
POINT (-73.9143371889133 40.756487576429144),4072219,Strada,-73.9143371889,40.7564875764,Active,Queens,1007982.52569,214897.125045
POINT (-73.91452636276058 40.7568028092373),4072218,Strada,-73.9145263628,40.7568028092,Active,Queens,1007930.00381,215011.923372
POINT (-73.91523443565869 40.75713667345346),4072217,Strada,-73.9152344357,40.7571366735,Active,Queens,1007733.71844,215133.370308
POINT (-73.9159130463605 40.75726471478729),4072216,Strada,-73.9159130464,40.7572647148,Active,Queens,1007545.66928,215179.838719
