total_units,latitude,longitude
72,40.734221,-73.806938
150,40.831835,-73.899256
58,40.672857,-73.906963
55,40.668572,-73.95701
40,40.819546,-73.886861
49,40.65699,-73.951809
107,40.596848,-73.998131
95,40.655739,-73.923252
1,,
102,40.864053,-73.900054
10,40.83037,-73.888769
16,40.811856,-73.909557
16,40.858567,-73.901642
19,40.857384,-73.89792
8,40.666901,-73.894582
14,40.645753,-73.954052
90,40.849647,-73.904283
71,40.856435,-73.895449
421,40.735548,-73.959792
29,40.63533,-73.957899
8,40.698398,-73.914507
36,40.905135,-73.849559
215,40.813775,-73.929384
27,40.69079,-73.919605
43,40.833078,-73.916318
17,40.67417,-73.914809
50,40.874511,-73.866052
20,40.804892,-73.922834
16,40.633264,-73.945784
19,40.701253,-73.937831
10,40.65025,-73.94852
10,40.879072,-73.847485
22,40.806918,-73.923641
9,40.862167,-73.869399
35,40.839404,-73.928446
1,,
6,40.697445,-73.934794
26,40.645626,-73.951936
10,40.697406,-73.93483
31,40.828198,-73.913105
20,40.851789,-73.893085
23,40.679828,-73.939066
8,40.87197,-73.866133
8,40.679642,-73.910065
9,40.686355,-73.949336
15,40.59505,-73.76197
23,40.679865,-73.940046
10,40.66272,-73.924772
42,40.858419,-73.901707
6,40.65947,-73.949587
6,40.659467,-73.949634
10,40.692612,-73.940666
8,40.704653,-73.918867
8,40.681485,-73.922461
10,40.636527,-73.943987
8,40.635457,-73.945004
8,40.661938,-73.91751
16,40.805176,-73.922046
