factype,latitude,longitude
PUBLIC K-12 SCHOOLS,40.8133021989,-73.9378303516
PUBLIC K-12 SCHOOLS,40.6082759051,-73.9744704934
PUBLIC K-12 SCHOOLS,40.6920478074,-73.9584397839
PUBLIC K-12 SCHOOLS,40.8723562084,-73.8833575731
PUBLIC K-12 SCHOOLS,40.6928751203,-73.8290929731
PUBLIC K-12 SCHOOLS,40.6148403938,-73.9869788382
PUBLIC K-12 SCHOOLS,40.5768258621,-74.0005039626
PUBLIC K-12 SCHOOLS,40.6915380282,-73.7784585278
PUBLIC K-12 SCHOOLS,40.7337694136,-73.7392309003
PUBLIC K-12 SCHOOLS,40.7099554423,-73.9547557226
PUBLIC K-12 SCHOOLS,40.757664947,-73.9083319487
PUBLIC K-12 SCHOOLS,40.705439532,-74.012887141
PUBLIC K-12 SCHOOLS,40.8077193317,-73.9127966805
PUBLIC K-12 SCHOOLS,40.6735,-73.769131
PUBLIC K-12 SCHOOLS,40.6590158667,-73.922512285
PUBLIC K-12 SCHOOLS,40.807617714,-73.9559405473
PUBLIC K-12 SCHOOLS,40.8351560208,-73.8465629631
PUBLIC K-12 SCHOOLS,40.5824172248,-74.0886221106
PUBLIC K-12 SCHOOLS,40.8861651382,-73.8404297078
PUBLIC K-12 SCHOOLS,40.5874717862,-73.9855732985
PUBLIC K-12 SCHOOLS,40.6247813711,-74.005069989
PUBLIC K-12 SCHOOLS,40.621238777,-73.9823677294
PUBLIC K-12 SCHOOLS,40.7164056941,-73.9040863274
PUBLIC K-12 SCHOOLS,40.735318343,-73.9815443023
PUBLIC K-12 SCHOOLS,40.5946056755,-73.7670230139
PUBLIC K-12 SCHOOLS,40.7386895985,-73.8239634326
PUBLIC K-12 SCHOOLS,40.7991057008,-73.9653615689
PUBLIC K-12 SCHOOLS,40.6668615927,-73.8951266284
PUBLIC K-12 SCHOOLS,40.7290637607,-74.0061420828
PUBLIC K-12 SCHOOLS,40.6605214973,-73.8347769023
PUBLIC K-12 SCHOOLS,40.6204794721,-74.0808847592
PUBLIC K-12 SCHOOLS,40.6900023214,-73.9893253727
PUBLIC K-12 SCHOOLS,40.6769457293,-73.8838392977
PUBLIC K-12 SCHOOLS,40.7421833951,-73.9364484685
PUBLIC K-12 SCHOOLS,40.7014557329,-73.9322848427
PUBLIC K-12 SCHOOLS,40.6429630192,-74.0041687809
PUBLIC K-12 SCHOOLS,40.8105105016,-73.9075970929
PUBLIC K-12 SCHOOLS,40.6649944695,-73.7592522789
PUBLIC K-12 SCHOOLS,40.6944887961,-73.9716353032
PUBLIC K-12 SCHOOLS,40.832254734,-73.9141995194
PUBLIC K-12 SCHOOLS,40.8320526208,-73.9070139196
PUBLIC K-12 SCHOOLS,40.83819728,-73.866044892
PUBLIC K-12 SCHOOLS,40.8697530306,-73.8981407332
PUBLIC K-12 SCHOOLS,40.7850121102,-73.9500305406
PUBLIC K-12 SCHOOLS,40.8486981453,-73.8889755922
PUBLIC K-12 SCHOOLS,40.7681546839,-73.9226632903
PUBLIC K-12 SCHOOLS,40.7421252375,-73.8627015409
PUBLIC K-12 SCHOOLS,40.6812778428,-73.8843186787
PUBLIC K-12 SCHOOLS,40.7196716696,-73.9480251497
PUBLIC K-12 SCHOOLS,40.6789105758,-73.9465064508
PUBLIC K-12 SCHOOLS,40.6480401428,-73.9222243649
PUBLIC K-12 SCHOOLS,40.8584023986,-73.9223110512
PUBLIC K-12 SCHOOLS,40.677845123,-74.0048648445
PUBLIC K-12 SCHOOLS,40.8142920136,-73.9426768335
PUBLIC K-12 SCHOOLS,40.7495277061,-73.821445777
PUBLIC K-12 SCHOOLS,40.6369277538,-73.9990376584
PUBLIC K-12 SCHOOLS,40.8355055394,-73.8259780247
PUBLIC K-12 SCHOOLS,40.810658938,-73.9573548135
PUBLIC K-12 SCHOOLS,40.6483413318,-73.9534228462
PUBLIC K-12 SCHOOLS,40.695660495,-73.915428289
PUBLIC K-12 SCHOOLS,40.8239286842,-73.9356720113
PUBLIC K-12 SCHOOLS,40.7616698262,-73.8719544931
PUBLIC K-12 SCHOOLS,40.5935097375,-73.9381445972
PUBLIC K-12 SCHOOLS,40.5419484165,-74.2139008389
PUBLIC K-12 SCHOOLS,40.6929394446,-73.9346915215
PUBLIC K-12 SCHOOLS,40.6153116574,-73.9769560583
PUBLIC K-12 SCHOOLS,40.8403479945,-73.9157635898
PUBLIC K-12 SCHOOLS,40.6969127372,-73.976025972
PUBLIC K-12 SCHOOLS,40.7699576556,-73.8941162879
PUBLIC K-12 SCHOOLS,40.7419778298,-73.9222737836
PUBLIC K-12 SCHOOLS,40.8149670933,-73.8560715944
PUBLIC K-12 SCHOOLS,40.8157386795,-73.952636705
PUBLIC K-12 SCHOOLS,40.7326657879,-73.9825829825
PUBLIC K-12 SCHOOLS,40.774899959,-73.9856303892
PUBLIC K-12 SCHOOLS,40.6916106527,-73.9313878165
PUBLIC K-12 SCHOOLS,40.8369362836,-73.8547928087
PUBLIC K-12 SCHOOLS,40.8595644374,-73.9062726471
PUBLIC K-12 SCHOOLS,40.8277227832,-73.9138118823
PUBLIC K-12 SCHOOLS,40.8168607808,-73.8605919795
PUBLIC K-12 SCHOOLS,40.6354920555,-73.8864007764
PUBLIC K-12 SCHOOLS,40.6131285669,-74.0691193656
PUBLIC K-12 SCHOOLS,40.6324215065,-74.0096951731
PUBLIC K-12 SCHOOLS,40.6747455353,-73.7832421878
PUBLIC K-12 SCHOOLS,40.8308116318,-73.8773073303
PUBLIC K-12 SCHOOLS,40.6134263539,-74.0995023462
PUBLIC K-12 SCHOOLS,40.6984005818,-73.7462126542
PUBLIC K-12 SCHOOLS,40.6762530613,-73.7586124508
PUBLIC K-12 SCHOOLS,40.8544337545,-73.8972292786
PUBLIC K-12 SCHOOLS,40.681948201,-73.749522626
PUBLIC K-12 SCHOOLS,40.7353192172,-73.9870850667
PUBLIC K-12 SCHOOLS,40.6968129782,-73.9118467055
PUBLIC K-12 SCHOOLS,40.6749162505,-73.7756027695
