NTA_lat,NTA_long,Population,traffic,buildings,legalstories,rating,price,rest_insp_score,density/p_meter,acres,wellbeing/hotels,wellbeing/libraries,DAY CARE,NON-PUBLIC K-12 SCHOOLS,HOSPITALS AND CLINICS,PUBLIC K-12 SCHOOLS
40.5790886862993,-73.97339094988965,17750.0,220.23842592592592,70.0,1.0,2.81,1.92,14.121951219512194,47.0,429.515,0.0,1.0,4.0,0.0,3.0,5.0
40.72615545587401,-73.86333861099067,28260.0,965.7523148148148,21.0,2.857142857142857,3.78,1.5,36.89655172413793,136.0,5.741,1.0,1.0,16.0,5.0,4.0,3.0
40.882156187836735,-73.858949122879,61321.0,1059.7569444444443,70.0,1.0,2.73,1.86,13.755555555555556,36.0,211.042,1.0,1.0,13.0,6.0,6.0,10.0
40.78819127627854,-73.81564320134655,30773.0,290.0,72.0,1.9444444444444444,3.14,1.8,23.046875,36.0,36.757,1.0,1.0,7.0,7.0,0.0,3.0
40.67559942676986,-73.84704874573309,21376.0,1226.082175925926,61.0,2.1311475409836067,2.76,1.9,23.90909090909091,71.0,36.683,4.0,1.0,8.0,4.0,4.0,9.0
40.64059013188992,-73.97619901935508,36891.0,411.78703703703707,70.0,1.0,2.52,2.0,37.73333333333333,123.0,2.749,2.0,1.0,25.0,25.0,10.0,7.0
40.66218792310775,-73.76448889899105,20132.0,290.0,75.0,1.88,2.73,1.96,24.285714285714285,6.0,24.642,1.0,0.0,3.0,1.0,2.0,8.0
40.69079510513449,-73.97488147952565,26079.0,290.0,93.0,5.139784946236559,3.48,1.74,22.346153846153847,71.0,48.795,2.0,2.0,8.0,8.0,10.0,11.0
40.647526284927736,-73.88241259897559,13354.0,550.7083333333334,70.0,1.0,2.91,1.82,15.166666666666666,17.0,138.79,1.0,1.0,6.0,4.0,1.0,6.0
40.73682434672817,-73.9840542975779,27988.0,2231.113425925926,396.0,8.194936708860759,3.04,1.84,22.12112676056338,347.0,18.465,33.0,1.0,12.0,6.0,23.0,16.0
40.67663761763486,-73.91364751083654,31935.0,1371.4791666666667,117.0,2.8376068376068377,4.0,1.82,23.79381443298969,36.0,28.462,8.0,1.0,14.0,2.0,9.0,15.0
40.81825954558028,-73.91285012599909,39214.0,1648.5439814814815,471.0,3.5095541401273884,2.59,1.98,25.46206896551724,64.0,51.444,4.0,0.0,20.0,9.0,21.0,15.0
40.8275124428439,-73.90235187026127,37865.0,631.4398148148148,364.0,3.3131868131868134,3.4,1.7,21.966101694915253,4.0,13.521,5.0,1.0,12.0,3.0,11.0,20.0
40.83399611808212,-73.8858973508187,20277.0,1942.8449074074076,70.0,1.0,2.95,1.9,35.22222222222222,10.0,156.635,1.0,0.0,9.0,2.0,7.0,12.0
