,latitude,longitude
66,-73.98300921762814,40.74811515837409
67,-73.9174950173068,40.849444506294475
68,-73.98850101814436,40.71440955033492
69,-73.86288995608042,40.818709352248625
70,-74.06298045409709,40.59580257046463
71,-73.9146501854584,40.88628523559925
72,-73.97745211592564,40.784834636708375
73,-74.07667836343802,40.64179934831384
74,-74.07786385638836,40.626256522293644
75,-73.98223080385785,40.75320442290988
76,-73.97254082689402,40.75680235018433
77,-73.8190949368255,40.82287218481685
78,-74.14852127833858,40.60960200172146
79,-73.98042071146763,40.72728802667872
80,-74.24410670826178,40.509531123859375
81,-73.89834943816875,40.84604568736388
82,-73.8939211860628,40.88277969546436
83,-73.85958124409599,40.891085065406706
84,-73.93971034945567,40.834548887305765
85,-73.95134169404905,40.770652543462646
86,-73.88301210482436,40.844644453005635
87,-74.11482187344863,40.63450894226954
88,-73.84673061822738,40.84086754432402
89,-73.86794200000536,40.90043990975718
90,-73.90464799347694,40.82061890603643
91,-73.95637252319334,40.77365564161395
92,-73.88723723774561,40.68068925695902
93,-74.02953835191357,40.633625713382486
94,-73.95616471363496,40.68181211172472
95,-73.98900318822345,40.638888838712376
96,-73.9667748761715,40.57610774698186
97,-73.99134798814833,40.69568255523745
98,-73.94856613670774,40.675370851852314
99,-73.90860343294449,40.671526655858436
100,-73.93961842135727,40.704559063938675
101,-73.89952442124468,40.64220845315574
102,-73.99801906031493,40.683213515337584
103,-73.9682243828713,40.672343526336505
104,-73.94763429707129,40.63574014928098
105,-73.96603066603613,40.68737909411427
106,-73.9860619926265,40.57663777607667
107,-73.96596507806375,40.640803547205046
108,-73.9481022990789,40.661189307734446
109,-73.8740348780572,40.67270747286009
110,-73.92839866742115,40.694816700021924
111,-74.0119885202191,40.616308136970446
112,-73.91494061956683,40.655710884739364
113,-73.93365084956477,40.66848651013449
114,-73.95824218248399,40.651925081044595
115,-73.93321325624171,40.61976819625962
116,-74.0313694054087,40.61637311059178
117,-73.9239376273276,40.59137103427607
118,-73.9718084463328,40.590544390004084
119,-73.95069497514092,40.72602806688718
120,-73.98624641554409,40.605693037370436
121,-73.96059936964683,40.5952368631223
122,-73.88924363004107,40.63446013901777
123,-73.97543590517284,40.63129183260273
124,-73.94112492296973,40.594861515121615
125,-73.95310584865699,40.610256667276076
126,-73.94793571283621,40.71364488802169
127,-73.93480547027619,40.68300490204431
128,-73.989440154021,40.62309139633207
129,-73.95128349802154,40.69162308733465
130,-74.01183730763366,40.62918753393924
131,-73.96031449280875,40.62589330718781
132,-73.91702120710569,40.61986842104019
133,-73.88607053682676,40.665159369730134
134,-74.00337654508532,40.608009349952326
135,-73.97858353651877,40.68346662977525
136,-73.91998488083019,40.63263699303789
137,-73.98345536969875,40.66823507229803
138,-74.0103430690854,40.6752407736475
139,-73.93035653080916,40.64861929304924
140,-73.97596652755537,40.61587982519312
141,-73.91513241598248,40.68481004767251
142,-73.95537377987904,40.58701342922593
143,-73.88586614058737,40.653209761333976
144,-73.90524945420668,40.66449962821875
145,-74.013630001215,40.64591212398883
146,-73.98862740604375,40.59268511632151
